"genes"	"modules"
"FN1"	"M1"
"COL1A1"	"M2"
"SERPINE2"	"M1"
"THBS1"	"M2"
"FTH1"	"M2"
"ACTB"	"M2"
"COL6A1"	"M1"
"COL6A2"	"M1"
"FTL"	"M2"
"FLNA"	"M2"
"IGFBP3"	"M1"
"COL3A1"	"M1"
"ACTG1"	"M2"
"COL12A1"	"M3"
"TGFBI"	"M2"
"SERPINE1"	"M1"
"TIMP3"	"M1"
"CCDC80"	"M1"
"CCN2"	"M1"
"CEMIP"	"M2"
"FBLN1"	"M2"
"DCN"	"M1"
"VCAN"	"M2"
"COL5A1"	"M2"
"SULF1"	"M1"
"LAMC1"	"M1"
"SLIT3"	"M1"
"MFGE8"	"M1"
"MAP1B"	"M1"
"COL6A3"	"M1"
"TPM4"	"M3"
"TPM1"	"M2"
"TAGLN"	"M2"
"CCND1"	"M1"
"TPM2"	"M2"
"COL5A2"	"M2"
"LMO7"	"M1"
"CRIM1"	"M1"
"CDKN1A"	"M3"
"BGN"	"M1"
"MYL9"	"M3"
"CITED2"	"M1"
"CFL1"	"M2"
"GREM1"	"M3"
"MYL6"	"M2"
"HIF1A"	"M4"
"ITGA11"	"M2"
"ACTN1"	"M2"
"NIBAN2"	"M1"
"SH3BGRL3"	"M1"
"HMGA1"	"M1"
"PLPP3"	"M1"
"C1S"	"M1"
"PDGFRA"	"M1"
"SLC38A2"	"M2"
"B2M"	"M1"
"CNN2"	"M3"
"PDGFRB"	"M1"
"ADAMTS1"	"M2"
"NQO1"	"M3"
"COL4A2"	"M2"
"PCOLCE"	"M1"
"C1R"	"M1"
"CKAP4"	"M1"
"SQSTM1"	"M2"
"PSG5"	"M1"
"EPAS1"	"M1"
"COMP"	"M1"
"ACTN4"	"M2"
"HSPB1"	"M2"
"MFAP4"	"M1"
"CLDN11"	"M1"
"TNC"	"M2"
"ADM"	"M1"
"MYL12A"	"M2"
"RND3"	"M1"
"COL8A1"	"M1"
"CREB3L1"	"M3"
"AEBP1"	"M1"
"GARS1"	"M2"
"SERPING1"	"M1"
"IL1R1"	"M1"
"ELN"	"M2"
"SVEP1"	"M1"
"DKK1"	"M1"
"FSCN1"	"M1"
"LAMB1"	"M1"
"LOXL2"	"M2"
"SEMA3C"	"M1"
"SLC1A5"	"M3"
"ENPP2"	"M1"
"CSRP1"	"M2"
"FARP1"	"M2"
"TGM2"	"M1"
"MYLK"	"M1"
"COL16A1"	"M2"
"ACTA2"	"M3"
"DDAH1"	"M4"
"THBS2"	"M1"
"COL4A1"	"M2"
"SLIT2"	"M1"
"MYH10"	"M4"
"OLFML3"	"M1"
"IGFBP5"	"M2"
"FBN2"	"M1"
"LTBP1"	"M2"
"LBH"	"M4"
"RHOBTB3"	"M1"
"MYADM"	"M3"
"FGF2"	"M2"
"TNFRSF11B"	"M3"
"ADAM9"	"M2"
"IGFBP7"	"M1"
"PSG4"	"M1"
"MXRA5"	"M1"
"TGFB1"	"M1"
"ELL2"	"M1"
"CRYAB"	"M1"
"EHBP1"	"M1"
"PAPPA"	"M1"
"ENAH"	"M2"
"LUM"	"M1"
"SPOCK1"	"M1"
"PNPLA2"	"M1"
"OSMR"	"M1"
"PRRX1"	"M2"
"CLU"	"M1"
"ADAM33"	"M1"
"STC2"	"M4"
"TMEM47"	"M1"
