"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Extracellular matrix organization"	"Extracellular matrix organization"	"40/346"	"266/7644"	1.05053333043405e-11	8.39376131016804e-09	8.08357752155041e-09	"FN1/COL6A1/COL6A2/COL3A1/SERPINE1/DCN/LAMC1/COL6A3/BGN/PCOLCE/COMP/MFAP4/COL8A1/LAMB1/FBN2/TGFB1/LUM/ADAMTS5/TNXB/ITGA4/ITGA3/NID2/CTSK/LAMA2/ACAN/NTN4/MMP3/ITGA2/PCOLCE2/A2M/COL14A1/ITGA7/COL15A1/DDR1/NCAM1/COL11A1/ADAMTS4/ITGB3/MMP15/ASPN"	40
"M1"	"ECM proteoglycans"	"ECM proteoglycans"	"16/346"	"55/7644"	1.3056806844692e-09	5.21619433445447e-07	5.0234346334052e-07	"SERPINE1/DCN/LAMC1/BGN/COMP/LAMB1/TGFB1/LUM/TNXB/LAMA2/ACAN/ITGA2/ITGA7/NCAM1/ITGB3/ASPN"	16
"M1"	"Laminin interactions"	"Laminin interactions"	"7/346"	"23/7644"	4.78941838805495e-05	0.0108662318703215	0.0104646801886635	"LAMC1/LAMB1/ITGA3/NID2/LAMA2/ITGA2/ITGA7"	7
"M1"	"Hemostasis"	"Hemostasis"	"42/346"	"497/7644"	5.4399158299482e-05	0.0108662318703215	0.0104646801886635	"FN1/SERPINE2/SERPINE1/SERPING1/TGFB1/CLU/ATP2B1/ITGA4/SLC16A3/ITGA3/GNB4/PDE5A/ANGPT1/TFPI/ITGA2/SLC8A1/GATA2/DOCK11/APBB1IP/WEE1/A2M/PROS1/ITPR2/PRKG1/IRF1/F2R/TUBA4A/HRAS/IGF2/ZFPM2/PRKG2/ARRB1/CFD/LRP8/ITPR1/ITGB3/HGF/ADRA2C/ATP2A3/GUCY1A2/RAD51B/PDE1A"	42
"M1"	"Axon guidance"	"Axon guidance"	"31/346"	"327/7644"	6.84430805909178e-05	0.0109372042784287	0.0105330298762023	"COL6A1/COL6A2/LAMC1/SLIT3/COL6A3/LAMB1/SLIT2/EGFR/MET/MYO10/SEMA7A/CNTNAP1/ANK2/UNC5B/SEMA3A/NTN4/PLXNA2/ITGA2/DNM1/EPHA2/NRP2/CACNA1C/HRAS/NCAM1/SEMA6A/ITGB3/CD24/ANK1/DPYSL4/CSNK2B/NGEF"	31
"M1"	"Interferon alpha/beta signaling"	"Interferon alpha/beta signaling"	"11/346"	"67/7644"	0.000183135180068577	0.0201663773058611	0.0194211472374474	"HLA-A/IFITM1/SAMHD1/IFIT3/XAF1/IRF1/GBP2/HLA-E/IRF6/MX2/ISG20"	11
"M1"	"Platelet degranulation"	"Platelet degranulation"	"12/346"	"79/7644"	0.000201916168268947	0.0201663773058611	0.0194211472374474	"FN1/SERPINE1/SERPING1/TGFB1/CLU/A2M/PROS1/TUBA4A/IGF2/CFD/ITGB3/HGF"	12
"M1"	"Platelet homeostasis"	"Platelet homeostasis"	"12/346"	"79/7644"	0.000201916168268947	0.0201663773058611	0.0194211472374474	"ATP2B1/GNB4/PDE5A/SLC8A1/ITPR2/PRKG1/PRKG2/LRP8/ITPR1/ATP2A3/GUCY1A2/PDE1A"	12
"M1"	"Response to elevated platelet cytosolic Ca2+"	"Response to elevated platelet cytosolic Ca2+"	"12/346"	"84/7644"	0.000363500778749501	0.0287864619344619	0.0277226845057528	"FN1/SERPINE1/SERPING1/TGFB1/CLU/A2M/PROS1/TUBA4A/IGF2/CFD/ITGB3/HGF"	12
"M1"	"negative regulation of TCF-dependent signaling by WNT ligand antagonists"	"negative regulation of TCF-dependent signaling by WNT ligand antagonists"	"5/346"	"15/7644"	0.000380561790050448	0.0287864619344619	0.0277226845057528	"DKK1/KREMEN1/WNT9A/DKK2/SFRP2"	5
